Scientific_Name,Common_Name,Date,Year,Month,Day,Time,Country,Country_State_County,State,County,Locality,Latitude,Longitude,Parent_Species,target_H5_HPAI
Acrocephalus scirpaceus,Eurasian Reed Warbler,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Acrocephalus scirpaceus,0
Acrocephalus scirpaceus,Eurasian Reed Warbler,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Acrocephalus scirpaceus,0
Limosa haemastica,Hudsonian Godwit,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Limosa haemastica,0
Limosa haemastica,Hudsonian Godwit,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Limosa haemastica,0
Limosa haemastica,Hudsonian Godwit,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Limosa haemastica,0
Muscicapa striata,Spotted Flycatcher,15/09/2015,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis Mór),53.1291,-9.7507,Muscicapa striata,0
Larus canus,Mew Gull,16/08/2014,2014,8,16,930,Ireland,IE-M-KY,Munster,Kerry,Ring of Kerry.,52.0018,-10.1239,Larus canus,1
Corvus frugilegus,Rook,16/08/2014,2014,8,16,930,Ireland,IE-M-KY,Munster,Kerry,Ring of Kerry.,52.0018,-10.1239,Corvus frugilegus,0
Larus argentatus,Herring Gull,17/08/2014,2014,8,17,900,Ireland,IE-M-KY,Munster,Kerry,Dingle peninsula.,52.1773,-10.4411,Larus argentatus,0
Corvus frugilegus,Rook,22/06/2005,2005,6,22,1300,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Corvus frugilegus,0
Corvus monedula,Eurasian Jackdaw,22/06/2005,2005,6,22,1300,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Corvus monedula,0
Erithacus rubecula,European Robin,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Erithacus rubecula,0
Ardea cinerea,Gray Heron,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Ardea cinerea,1
Corvus monedula,Eurasian Jackdaw,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Corvus monedula,0
Cygnus olor,Mute Swan,23/06/2005,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Cygnus olor,1
Ardea cinerea,Gray Heron,23/06/2005,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Ardea cinerea,1
Cygnus olor,Mute Swan,23/06/2005,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Cygnus olor,1
Alca torda,Razorbill,23/06/2005,2005,6,23,1430,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Alca torda,0
Motacilla cinerea,Gray Wagtail,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Motacilla cinerea,0
Motacilla alba,White Wagtail,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Motacilla alba,0
Erithacus rubecula,European Robin,23/06/2005,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Erithacus rubecula,0
Corvus monedula,Eurasian Jackdaw,05/07/2005,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Corvus monedula,0
Sterna hirundo,Common Tern,05/07/2005,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Sterna hirundo,0
Sterna hirundo,Common Tern,05/07/2005,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Sterna hirundo,0
Chroicocephalus ridibundus,Black-headed Gull,05/07/2005,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Chroicocephalus ridibundus,1
Erithacus rubecula,European Robin,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Erithacus rubecula,0
Regulus regulus,Goldcrest,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Regulus regulus,0
Phasianus colchicus,Ring-necked Pheasant,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Phasianus colchicus,0
Streptopelia decaocto,Eurasian Collared-Dove,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Streptopelia decaocto,0
Corvus monedula,Eurasian Jackdaw,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Corvus monedula,0
Muscicapa striata,Spotted Flycatcher,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Muscicapa striata,0
Troglodytes troglodytes,Eurasian Wren,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Troglodytes troglodytes,0
Troglodytes troglodytes,Eurasian Wren,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Troglodytes troglodytes,0
Muscicapa striata,Spotted Flycatcher,28/06/2005,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Muscicapa striata,0
